Total Dimensions: 128
Training dimension 1...
Epoch  76:  Train Loss: 5.803e-04,  Validation Loss: 5.864e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  77:  Train Loss: 5.814e-04,  Validation Loss: 5.886e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.08
Epoch  78:  Train Loss: 5.817e-04,  Validation Loss: 5.923e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.08
Epoch  79:  Train Loss: 5.809e-04,  Validation Loss: 5.888e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.08
Epoch  80:  Train Loss: 5.808e-04,  Validation Loss: 5.901e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  81:  Train Loss: 1.707e-03,  Validation Loss: 1.504e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0
Epoch  82:  Train Loss: 2.312e-05,  Validation Loss: 1.988e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch  83:  Train Loss: 8.309e-06,  Validation Loss: 4.082e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch  84:  Train Loss: 1.146e-05,  Validation Loss: 1.631e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch  85:  Train Loss: 2.281e-05,  Validation Loss: 3.049e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch  86:  Train Loss: 1.408e-04,  Validation Loss: 4.772e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch  87:  Train Loss: 4.987e-05,  Validation Loss: 2.083e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch  88:  Train Loss: 2.348e-05,  Validation Loss: 6.350e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 5.6692e-05
Epoch  89:  Train Loss: 1.136e-04,  Validation Loss: 3.688e-04,  Epoch Time: 0.74s,  Current Pruning Threshold: 0.00022661
Epoch  90:  Train Loss: 8.466e-04,  Validation Loss: 8.225e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.00050927
Epoch  91:  Train Loss: 3.929e-06,  Validation Loss: 2.033e-06,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.00090386
Epoch  92:  Train Loss: 2.424e-06,  Validation Loss: 1.542e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.0014093
Epoch  93:  Train Loss: 6.359e-06,  Validation Loss: 3.707e-06,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.0020241
Epoch  94:  Train Loss: 3.398e-06,  Validation Loss: 1.926e-06,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.0027466
Epoch  95:  Train Loss: 2.879e-05,  Validation Loss: 3.447e-05,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.0035746
Epoch  96:  Train Loss: 1.364e-05,  Validation Loss: 1.711e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.0045059
Epoch  97:  Train Loss: 6.055e-06,  Validation Loss: 1.136e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.0055378
Epoch  98:  Train Loss: 1.574e-05,  Validation Loss: 1.065e-05,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.0066674
Epoch  99:  Train Loss: 1.412e-05,  Validation Loss: 6.541e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.0078915
Epoch 100:  Train Loss: 8.674e-06,  Validation Loss: 5.862e-06,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.0092066
Epoch 101:  Train Loss: 1.395e-05,  Validation Loss: 1.314e-06,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.010609
Epoch 102:  Train Loss: 5.969e-06,  Validation Loss: 5.369e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.012095
Epoch 103:  Train Loss: 7.778e-06,  Validation Loss: 1.133e-06,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.01366
Epoch 104:  Train Loss: 6.588e-06,  Validation Loss: 5.645e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.015299
Epoch 105:  Train Loss: 1.217e-05,  Validation Loss: 1.797e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.017009
Epoch 106:  Train Loss: 6.747e-06,  Validation Loss: 1.746e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.018783
Epoch 107:  Train Loss: 7.681e-06,  Validation Loss: 3.258e-06,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.020618
Epoch 108:  Train Loss: 6.315e-06,  Validation Loss: 2.331e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.022508
Epoch 109:  Train Loss: 8.989e-06,  Validation Loss: 3.226e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.024447
Epoch 110:  Train Loss: 8.146e-06,  Validation Loss: 4.648e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.02643
Epoch 111:  Train Loss: 9.599e-06,  Validation Loss: 5.995e-06,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.028452
Epoch 112:  Train Loss: 9.959e-06,  Validation Loss: 6.693e-06,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.030507
Epoch 113:  Train Loss: 1.230e-05,  Validation Loss: 7.867e-06,  Epoch Time: 0.74s,  Current Pruning Threshold: 0.032588
Epoch 114:  Train Loss: 1.556e-05,  Validation Loss: 6.900e-06,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.034691
Epoch 115:  Train Loss: 6.830e-06,  Validation Loss: 3.035e-06,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.036809
Epoch 116:  Train Loss: 3.075e-06,  Validation Loss: 8.419e-07,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.038935
Epoch 117:  Train Loss: 3.983e-07,  Validation Loss: 9.866e-08,  Epoch Time: 0.73s,  Current Pruning Threshold: 0.041065
Epoch 118:  Train Loss: 1.671e-08,  Validation Loss: 9.625e-09,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.043191
Epoch 119:  Train Loss: 6.786e-09,  Validation Loss: 5.081e-09,  Epoch Time: 0.74s,  Current Pruning Threshold: 0.045309
Epoch 120:  Train Loss: 6.951e-11,  Validation Loss: 1.102e-15,  Epoch Time: 0.74s,  Current Pruning Threshold: 0.047412
Early stopping at epoch 120 as train loss 0.00000000006951 is below the threshold 0.00000000010000
Traininng Stopped. Time elapsed: 85.64s
Training dimension 3...
Epoch   1:  Train Loss: 1.220e-02,  Validation Loss: 1.111e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 6.551e-05,  Validation Loss: 5.084e-05,  Epoch Time: 0.73s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 6.543e-05,  Validation Loss: 4.714e-05,  Epoch Time: 0.74s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 7.141e-05,  Validation Loss: 1.057e-04,  Epoch Time: 0.73s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 1.120e-04,  Validation Loss: 8.376e-05,  Epoch Time: 0.73s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 2.092e-04,  Validation Loss: 3.685e-04,  Epoch Time: 0.74s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 4.446e-04,  Validation Loss: 1.252e-04,  Epoch Time: 0.73s,  Current Pruning Threshold: 0
