Training dimension 1...
Epoch   6:  Train Loss: 7.6907e-01,  Validation Loss: 6.7277e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 8.2186e-01,  Validation Loss: 8.0953e-01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 1.4134e+00,  Validation Loss: 1.3580e+00,  Epoch Time: 0.36s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 2.2028e+01,  Validation Loss: 2.4598e+00,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 2.1396e+00,  Validation Loss: 4.8879e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.00087931
Epoch  11:  Train Loss: 1.4575e+00,  Validation Loss: 3.3199e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.0035069
Epoch  12:  Train Loss: 1.4420e+01,  Validation Loss: 1.7885e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.007852
Epoch  13:  Train Loss: 3.9475e+00,  Validation Loss: 2.5192e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.013864
Epoch  14:  Train Loss: 6.9736e+00,  Validation Loss: 4.0087e+00,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.021471
Epoch  15:  Train Loss: 6.9570e+00,  Validation Loss: 5.6853e+00,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.030586
Epoch  16:  Train Loss: 7.2463e+00,  Validation Loss: 6.8205e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.041101
Epoch  17:  Train Loss: 7.5373e+00,  Validation Loss: 7.0157e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.052892
Epoch  18:  Train Loss: 7.1458e+00,  Validation Loss: 6.7622e+00,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.065822
Epoch  19:  Train Loss: 1.1044e+01,  Validation Loss: 1.0464e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.079739
Epoch  20:  Train Loss: 1.1440e+01,  Validation Loss: 1.0919e+01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.094479
Epoch  21:  Train Loss: 1.0699e+01,  Validation Loss: 1.0347e+01,  Epoch Time: 0.39s,  Current Pruning Threshold: 0.10987
Epoch  22:  Train Loss: 1.0187e+01,  Validation Loss: 9.8996e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.12573
Epoch  23:  Train Loss: 9.9408e+00,  Validation Loss: 9.5970e+00,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.14188
Epoch  24:  Train Loss: 9.5364e+00,  Validation Loss: 9.3292e+00,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.15812
Epoch  25:  Train Loss: 9.2828e+00,  Validation Loss: 9.0561e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.17427
Epoch  26:  Train Loss: 9.3498e+00,  Validation Loss: 9.1167e+00,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.19013
Epoch  27:  Train Loss: 9.0954e+00,  Validation Loss: 8.8935e+00,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.20552
Epoch  28:  Train Loss: 8.9920e+00,  Validation Loss: 8.8093e+00,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.22026
Epoch  29:  Train Loss: 1.1867e+01,  Validation Loss: 1.1550e+01,  Epoch Time: 0.56s,  Current Pruning Threshold: 0.23418
Epoch  30:  Train Loss: 1.1268e+01,  Validation Loss: 1.1150e+01,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.24711
Epoch  31:  Train Loss: 1.1063e+01,  Validation Loss: 1.1009e+01,  Epoch Time: 0.54s,  Current Pruning Threshold: 0.2589
Epoch  32:  Train Loss: 1.0989e+01,  Validation Loss: 1.0956e+01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.26941
Epoch  33:  Train Loss: 1.0970e+01,  Validation Loss: 1.0957e+01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.27853
Epoch  34:  Train Loss: 1.0962e+01,  Validation Loss: 1.0967e+01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.28614
