Total Dimensions: 60
Training dimension 1...
Epoch  64:  Train Loss: 7.776e-04,  Validation Loss: 6.371e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.12675
Epoch  65:  Train Loss: 9.250e-04,  Validation Loss: 8.149e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.13701
Epoch  66:  Train Loss: 1.072e-03,  Validation Loss: 1.006e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.14684
Epoch  67:  Train Loss: 1.262e-03,  Validation Loss: 1.175e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.15612
Epoch  68:  Train Loss: 1.377e-03,  Validation Loss: 1.326e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.16474
Epoch  69:  Train Loss: 1.424e-03,  Validation Loss: 1.343e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.1726
Epoch  70:  Train Loss: 1.422e-03,  Validation Loss: 1.358e-03,  Epoch Time: 1.13s,  Current Pruning Threshold: 0.17961
Epoch  71:  Train Loss: 1.477e-03,  Validation Loss: 1.442e-03,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.18569
Epoch  72:  Train Loss: 1.508e-03,  Validation Loss: 1.461e-03,  Epoch Time: 0.99s,  Current Pruning Threshold: 0.19076
Epoch  73:  Train Loss: 1.521e-03,  Validation Loss: 1.601e-03,  Epoch Time: 0.95s,  Current Pruning Threshold: 0.19477
Epoch  74:  Train Loss: 1.546e-03,  Validation Loss: 1.478e-03,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.19766
Epoch  75:  Train Loss: 1.562e-03,  Validation Loss: 1.518e-03,  Epoch Time: 0.84s,  Current Pruning Threshold: 0.19941
Epoch  76:  Train Loss: 1.574e-03,  Validation Loss: 1.527e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.2
Epoch  77:  Train Loss: 1.579e-03,  Validation Loss: 1.543e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.2
Epoch  78:  Train Loss: 1.605e-03,  Validation Loss: 1.534e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.2
Epoch  79:  Train Loss: 1.578e-03,  Validation Loss: 1.543e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.2
Epoch  80:  Train Loss: 1.589e-03,  Validation Loss: 1.596e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.2
Epoch  81:  Train Loss: 3.380e-01,  Validation Loss: 4.622e-03,  Epoch Time: 0.82s,  Current Pruning Threshold: 0
Epoch  82:  Train Loss: 1.840e-03,  Validation Loss: 9.777e-04,  Epoch Time: 0.87s,  Current Pruning Threshold: 0
Epoch  83:  Train Loss: 7.150e-04,  Validation Loss: 5.405e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0
Epoch  84:  Train Loss: 4.613e-04,  Validation Loss: 3.990e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0
Epoch  85:  Train Loss: 3.414e-04,  Validation Loss: 3.045e-04,  Epoch Time: 0.81s,  Current Pruning Threshold: 0
Epoch  86:  Train Loss: 3.006e-04,  Validation Loss: 2.716e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch  87:  Train Loss: 2.882e-04,  Validation Loss: 3.399e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0
Epoch  88:  Train Loss: 5.270e-04,  Validation Loss: 8.335e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.0005862
Epoch  89:  Train Loss: 1.145e-03,  Validation Loss: 1.971e-03,  Epoch Time: 0.76s,  Current Pruning Threshold: 0.0023379
Epoch  90:  Train Loss: 4.064e-03,  Validation Loss: 2.006e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0052347
Epoch  91:  Train Loss: 8.076e-04,  Validation Loss: 4.115e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0092425
Epoch  92:  Train Loss: 2.862e-04,  Validation Loss: 2.480e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.014314
Epoch  93:  Train Loss: 4.750e-04,  Validation Loss: 5.651e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.020391
Epoch  94:  Train Loss: 8.536e-04,  Validation Loss: 6.597e-04,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.0274
Epoch  95:  Train Loss: 5.715e-04,  Validation Loss: 1.901e-04,  Epoch Time: 0.89s,  Current Pruning Threshold: 0.035261
Epoch  96:  Train Loss: 5.220e-04,  Validation Loss: 8.286e-05,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.043881
Epoch  97:  Train Loss: 3.308e-04,  Validation Loss: 7.276e-05,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.053159
Epoch  98:  Train Loss: 2.004e-04,  Validation Loss: 7.677e-05,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.062986
Epoch  99:  Train Loss: 2.215e-04,  Validation Loss: 8.826e-05,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.073247
