Total Dimensions: 100
Training dimension 1...
/opt/anaconda3/envs/tf/lib/python3.10/site-packages/keras/initializers/initializers_v2.py:120: UserWarning: The initializer RandomNormal is unseeded and being called multiple times, which will return identical values  each time (even if the initializer is unseeded). Please update your code to provide a seed to the initializer, or avoid using the same initalizer instance more than once.
  warnings.warn(
Epoch   2:  Train Loss: 6.803e-03,  Validation Loss: 5.228e-03,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 4.311e-03,  Validation Loss: 3.394e-03,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 2.762e-03,  Validation Loss: 2.216e-03,  Epoch Time: 0.44s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 1.814e-03,  Validation Loss: 1.639e-03,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 1.297e-03,  Validation Loss: 1.108e-03,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.014e-03,  Validation Loss: 1.008e-03,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 1.008e-03,  Validation Loss: 9.643e-04,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 2.293e-03,  Validation Loss: 6.946e-03,  Epoch Time: 0.44s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 8.278e-03,  Validation Loss: 1.188e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0
Epoch  11:  Train Loss: 5.708e-03,  Validation Loss: 2.870e-03,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch  12:  Train Loss: 1.874e-03,  Validation Loss: 9.218e-04,  Epoch Time: 0.49s,  Current Pruning Threshold: 0
Epoch  13:  Train Loss: 1.489e-03,  Validation Loss: 1.675e-03,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch  14:  Train Loss: 9.533e-04,  Validation Loss: 1.100e-03,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.00063697
Epoch  15:  Train Loss: 6.903e-04,  Validation Loss: 4.079e-04,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.0025446
Epoch  16:  Train Loss: 4.963e-04,  Validation Loss: 2.003e-04,  Epoch Time: 0.47s,  Current Pruning Threshold: 0.0057133
Epoch  17:  Train Loss: 3.512e-04,  Validation Loss: 2.145e-04,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.010127
Epoch  18:  Train Loss: 1.717e-04,  Validation Loss: 7.975e-05,  Epoch Time: 0.50s,  Current Pruning Threshold: 0.015763
Epoch  19:  Train Loss: 1.910e-05,  Validation Loss: 7.339e-06,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.022592
Epoch  20:  Train Loss: 2.168e-08,  Validation Loss: 1.492e-09,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.03058
Epoch  21:  Train Loss: 1.657e-12,  Validation Loss: 2.907e-16,  Epoch Time: 0.47s,  Current Pruning Threshold: 0.039687
Early stopping at epoch 21 as train loss 0.00000000000166 is below the threshold 0.00000000010000
Traininng Stopped. Time elapsed: 9.42s
Training dimension 5...
Epoch   1:  Train Loss: 1.244e+02,  Validation Loss: 2.514e+00,  Epoch Time: 0.47s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 1.265e+00,  Validation Loss: 7.945e-01,  Epoch Time: 0.48s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 4.991e-01,  Validation Loss: 4.121e-01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 2.777e-01,  Validation Loss: 2.482e-01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 1.785e-01,  Validation Loss: 1.663e-01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 1.244e-01,  Validation Loss: 1.201e-01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 9.292e-02,  Validation Loss: 9.119e-02,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 7.224e-02,  Validation Loss: 7.102e-02,  Epoch Time: 0.48s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 6.107e-02,  Validation Loss: 6.058e-02,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 5.423e-02,  Validation Loss: 5.540e-02,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch  11:  Train Loss: 5.917e-02,  Validation Loss: 7.122e-02,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch  12:  Train Loss: 9.658e-02,  Validation Loss: 9.356e-02,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch  13:  Train Loss: 1.070e-01,  Validation Loss: 1.232e-01,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch  14:  Train Loss: 1.045e-01,  Validation Loss: 7.707e-02,  Epoch Time: 0.47s,  Current Pruning Threshold: 0.00063697
Epoch  15:  Train Loss: 5.428e-02,  Validation Loss: 3.902e-02,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.0025446
Epoch  16:  Train Loss: 3.752e-02,  Validation Loss: 4.768e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.0057133
Epoch  17:  Train Loss: 3.615e-02,  Validation Loss: 2.580e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.010127
Epoch  18:  Train Loss: 2.167e-02,  Validation Loss: 1.565e-02,  Epoch Time: 0.48s,  Current Pruning Threshold: 0.015763
Epoch  19:  Train Loss: 1.768e-02,  Validation Loss: 1.143e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.022592
Epoch  20:  Train Loss: 1.742e-02,  Validation Loss: 8.634e-03,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.03058
Epoch  21:  Train Loss: 1.794e-02,  Validation Loss: 8.743e-03,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.039687
Epoch  22:  Train Loss: 1.671e-02,  Validation Loss: 8.347e-03,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.049865
