Training dimension 1...
Epoch 600:  Train Loss: 3.5075e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 620:  Train Loss: 5.2351e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0
Epoch 640:  Train Loss: 1.0863e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.00089753
Epoch 660:  Train Loss: 5.8904e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch 680:  Train Loss: 4.1445e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.024394
Epoch 700:  Train Loss: 3.7732e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.044215
Epoch 720:  Train Loss: 4.0261e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 740:  Train Loss: 3.8681e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.083247
Epoch 760:  Train Loss: 3.8871e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 780:  Train Loss: 3.9176e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 800:  Train Loss: 3.6834e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 820:  Train Loss: 5.8811e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 840:  Train Loss: 6.1130e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.00089753
Epoch 860:  Train Loss: 6.0665e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch 880:  Train Loss: 5.8196e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.024394
Epoch 900:  Train Loss: 3.9631e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 920:  Train Loss: 3.9148e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 940:  Train Loss: 5.0149e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.083247
Epoch 960:  Train Loss: 5.5739e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 980:  Train Loss: 4.8808e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
