Total Dimensions: 20
Training dimension 1...
Epoch  18 (Period 1):  Train Loss: 3.519e-03,  Validation Loss: 2.509e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.006305
Epoch  19 (Period 1):  Train Loss: 1.425e-03,  Validation Loss: 2.049e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0090368
Epoch  20 (Period 1):  Train Loss: 9.258e-04,  Validation Loss: 2.325e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.012232
Epoch  21 (Period 1):  Train Loss: 1.389e-03,  Validation Loss: 4.221e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.015875
Epoch  22 (Period 1):  Train Loss: 8.599e-04,  Validation Loss: 3.962e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.019946
Epoch  23 (Period 1):  Train Loss: 8.696e-04,  Validation Loss: 4.827e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.024425
Epoch  24 (Period 1):  Train Loss: 9.882e-04,  Validation Loss: 5.606e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.029289
Epoch  25 (Period 1):  Train Loss: 7.735e-04,  Validation Loss: 5.890e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.034514
Epoch  26 (Period 1):  Train Loss: 9.002e-04,  Validation Loss: 6.378e-04,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.040072
Epoch  27 (Period 1):  Train Loss: 6.092e-04,  Validation Loss: 4.433e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.045936
Epoch  28 (Period 1):  Train Loss: 4.765e-04,  Validation Loss: 3.320e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.052075
Epoch  29 (Period 1):  Train Loss: 2.954e-04,  Validation Loss: 2.523e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.058458
Epoch  30 (Period 1):  Train Loss: 2.279e-04,  Validation Loss: 1.797e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.065054
Epoch  31 (Period 1):  Train Loss: 2.098e-04,  Validation Loss: 1.317e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.071827
Epoch  32 (Period 1):  Train Loss: 7.595e-04,  Validation Loss: 4.222e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.078743
Epoch  33 (Period 1):  Train Loss: 1.438e-06,  Validation Loss: 6.854e-08,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.085769
Epoch  34 (Period 1):  Train Loss: 1.033e-08,  Validation Loss: 6.668e-13,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.092866
Epoch  35 (Period 1):  Train Loss: 1.973e-13,  Validation Loss: 6.230e-15,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.1
Epoch  36 (Period 1):  Train Loss: 6.246e-15,  Validation Loss: 6.076e-15,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.10713
Early stopping at epoch 36 as train loss 0.00000000000001 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 3.67s
Final model saved as best with loss: 6.075982e-15
Training dimension 5...
Epoch   1 (Period 1):  Train Loss: 5.230e+00,  Validation Loss: 4.881e+00,  Epoch Time: 0.15s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 1.335e+00,  Validation Loss: 1.549e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 5.306e-02,  Validation Loss: 1.122e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 7.546e-03,  Validation Loss: 3.909e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 2.622e-03,  Validation Loss: 1.794e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 2.529e-03,  Validation Loss: 2.074e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 1.730e-03,  Validation Loss: 1.762e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.880e-03,  Validation Loss: 3.425e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 2.038e-03,  Validation Loss: 9.344e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 1.116e-03,  Validation Loss: 2.025e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 2.792e-03,  Validation Loss: 1.445e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  12 (Period 1):  Train Loss: 4.652e-03,  Validation Loss: 3.378e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  13 (Period 1):  Train Loss: 2.823e-03,  Validation Loss: 3.185e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  14 (Period 1):  Train Loss: 1.909e-03,  Validation Loss: 2.638e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.00025479
Epoch  15 (Period 1):  Train Loss: 2.159e-03,  Validation Loss: 9.655e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0010179
Epoch  16 (Period 1):  Train Loss: 8.434e-03,  Validation Loss: 1.085e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0022853
Epoch  17 (Period 1):  Train Loss: 4.764e-03,  Validation Loss: 1.388e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0040507
Epoch  18 (Period 1):  Train Loss: 1.427e-03,  Validation Loss: 3.517e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.006305
Epoch  19 (Period 1):  Train Loss: 1.611e-03,  Validation Loss: 2.780e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0090368
Epoch  20 (Period 1):  Train Loss: 7.772e-04,  Validation Loss: 2.996e-04,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.012232
Epoch  21 (Period 1):  Train Loss: 7.020e-04,  Validation Loss: 2.949e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.015875
Epoch  22 (Period 1):  Train Loss: 1.226e-03,  Validation Loss: 4.891e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.019946
Epoch  23 (Period 1):  Train Loss: 8.765e-04,  Validation Loss: 4.817e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.024425
Epoch  24 (Period 1):  Train Loss: 9.078e-04,  Validation Loss: 6.335e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.029289
Epoch  25 (Period 1):  Train Loss: 8.537e-04,  Validation Loss: 6.560e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.034514
Epoch  26 (Period 1):  Train Loss: 1.006e-03,  Validation Loss: 6.596e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.040072
