Total Dimensions: 20
Training dimension 1...
Epoch  33 (Period 1):  Train Loss: 1.659e-13,  Validation Loss: 2.683e-16,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.10713
Early stopping at epoch 33 as train loss 0.00000000000017 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 3.30s
Final model saved as best with loss: 2.682745e-16
Training dimension 4...
Epoch   1 (Period 1):  Train Loss: 1.623e-01,  Validation Loss: 6.929e-03,  Epoch Time: 0.16s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 2.203e-03,  Validation Loss: 6.264e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 4.091e-04,  Validation Loss: 2.431e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 2.057e-04,  Validation Loss: 1.702e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 1.413e-04,  Validation Loss: 1.005e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 9.520e-05,  Validation Loss: 8.806e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 7.492e-05,  Validation Loss: 6.088e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 5.772e-05,  Validation Loss: 5.230e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 5.082e-05,  Validation Loss: 6.322e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 4.362e-05,  Validation Loss: 3.763e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 3.810e-05,  Validation Loss: 3.355e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.00025479
Epoch  12 (Period 1):  Train Loss: 3.285e-05,  Validation Loss: 4.352e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0010179
Epoch  13 (Period 1):  Train Loss: 3.017e-05,  Validation Loss: 2.915e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0022853
Epoch  14 (Period 1):  Train Loss: 2.815e-05,  Validation Loss: 2.888e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0040507
Epoch  15 (Period 1):  Train Loss: 2.382e-05,  Validation Loss: 2.292e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.006305
Epoch  16 (Period 1):  Train Loss: 2.232e-05,  Validation Loss: 1.790e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0090368
Epoch  17 (Period 1):  Train Loss: 2.682e-05,  Validation Loss: 1.553e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.012232
Epoch  18 (Period 1):  Train Loss: 3.174e-05,  Validation Loss: 1.626e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.015875
Epoch  19 (Period 1):  Train Loss: 6.044e-05,  Validation Loss: 1.719e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.019946
Epoch  20 (Period 1):  Train Loss: 8.822e-05,  Validation Loss: 2.235e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.024425
Epoch  21 (Period 1):  Train Loss: 1.824e-04,  Validation Loss: 2.940e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.029289
Epoch  22 (Period 1):  Train Loss: 8.057e-05,  Validation Loss: 2.438e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.034514
Epoch  23 (Period 1):  Train Loss: 1.329e-04,  Validation Loss: 3.004e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.040072
Epoch  24 (Period 1):  Train Loss: 1.215e-04,  Validation Loss: 4.571e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.045936
Epoch  25 (Period 1):  Train Loss: 1.465e-04,  Validation Loss: 5.403e-05,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.052075
Epoch  26 (Period 1):  Train Loss: 1.400e-04,  Validation Loss: 4.976e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.058458
Epoch  27 (Period 1):  Train Loss: 1.307e-04,  Validation Loss: 5.491e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.065054
Epoch  28 (Period 1):  Train Loss: 1.397e-04,  Validation Loss: 6.462e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.071827
Epoch  29 (Period 1):  Train Loss: 5.726e-05,  Validation Loss: 3.392e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.078743
Epoch  30 (Period 1):  Train Loss: 2.124e-05,  Validation Loss: 9.271e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.085769
Epoch  31 (Period 1):  Train Loss: 1.173e-05,  Validation Loss: 4.364e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.092866
Epoch  32 (Period 1):  Train Loss: 3.705e-08,  Validation Loss: 5.388e-09,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.1
Epoch  33 (Period 1):  Train Loss: 5.864e-11,  Validation Loss: 1.387e-12,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.10713
Early stopping at epoch 33 as train loss 0.00000000005864 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 3.11s
Final model saved as best with loss: 1.386540e-12
Training dimension 5...
Epoch   1 (Period 1):  Train Loss: 3.467e-02,  Validation Loss: 1.161e-03,  Epoch Time: 0.16s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 3.067e-04,  Validation Loss: 1.245e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 8.261e-05,  Validation Loss: 4.406e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 4.134e-05,  Validation Loss: 2.235e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 2.268e-05,  Validation Loss: 2.069e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 1.440e-05,  Validation Loss: 1.138e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 1.357e-05,  Validation Loss: 1.513e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 8.703e-06,  Validation Loss: 7.368e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 6.776e-06,  Validation Loss: 6.072e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 6.836e-06,  Validation Loss: 9.300e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 1.021e-05,  Validation Loss: 6.526e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.00025479
Epoch  12 (Period 1):  Train Loss: 5.193e-06,  Validation Loss: 4.628e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0010179
Epoch  13 (Period 1):  Train Loss: 4.715e-06,  Validation Loss: 5.796e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0022853
Epoch  14 (Period 1):  Train Loss: 1.453e-05,  Validation Loss: 9.921e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0040507
Epoch  15 (Period 1):  Train Loss: 1.143e-05,  Validation Loss: 3.660e-06,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.006305
Epoch  16 (Period 1):  Train Loss: 1.836e-05,  Validation Loss: 3.886e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0090368
Epoch  17 (Period 1):  Train Loss: 3.594e-05,  Validation Loss: 5.462e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.012232
Epoch  18 (Period 1):  Train Loss: 1.845e-05,  Validation Loss: 5.538e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.015875
Epoch  19 (Period 1):  Train Loss: 2.733e-05,  Validation Loss: 4.374e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.019946
Epoch  20 (Period 1):  Train Loss: 4.460e-05,  Validation Loss: 5.956e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.024425
Epoch  21 (Period 1):  Train Loss: 3.343e-05,  Validation Loss: 7.136e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.029289
Epoch  22 (Period 1):  Train Loss: 3.207e-05,  Validation Loss: 5.424e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.034514
