Epoch  74 (Period 2):  Train Loss: 1.818e-02,  Validation Loss: 1.570e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.014061
Epoch  75 (Period 2):  Train Loss: 8.173e-03,  Validation Loss: 3.728e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.017966
Epoch  76 (Period 2):  Train Loss: 7.322e-03,  Validation Loss: 5.581e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.022034
Epoch  77 (Period 2):  Train Loss: 6.544e-03,  Validation Loss: 3.026e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.025939
Epoch  78 (Period 2):  Train Loss: 5.090e-03,  Validation Loss: 5.552e-03,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.029403
Epoch  79 (Period 2):  Train Loss: 4.903e-03,  Validation Loss: 5.316e-03,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.032268
Epoch  80 (Period 2):  Train Loss: 3.426e-03,  Validation Loss: 2.838e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.034504
Epoch  81 (Period 2):  Train Loss: 3.307e-03,  Validation Loss: 6.377e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03617
Epoch  82 (Period 2):  Train Loss: 3.572e-03,  Validation Loss: 2.296e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03737
Epoch  83 (Period 2):  Train Loss: 3.780e-03,  Validation Loss: 3.416e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.038212
Epoch  84 (Period 2):  Train Loss: 2.615e-03,  Validation Loss: 2.231e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.038794
Epoch  85 (Period 2):  Train Loss: 3.124e-03,  Validation Loss: 2.102e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03919
Epoch  86 (Period 2):  Train Loss: 2.748e-03,  Validation Loss: 2.733e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039459
Epoch  87 (Period 2):  Train Loss: 2.524e-03,  Validation Loss: 7.239e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039639
Epoch  88 (Period 2):  Train Loss: 4.115e-03,  Validation Loss: 2.747e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03976
Epoch  89 (Period 2):  Train Loss: 4.275e-03,  Validation Loss: 3.595e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039841
Epoch  90 (Period 2):  Train Loss: 6.840e-03,  Validation Loss: 7.367e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039895
Epoch  91 (Period 2):  Train Loss: 4.924e-03,  Validation Loss: 4.540e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03993
Epoch  92 (Period 2):  Train Loss: 4.884e-03,  Validation Loss: 3.445e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039954
Epoch  93 (Period 2):  Train Loss: 4.015e-03,  Validation Loss: 4.255e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03997
Epoch  94 (Period 2):  Train Loss: 3.637e-03,  Validation Loss: 3.299e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039981
Epoch  95 (Period 2):  Train Loss: 3.252e-03,  Validation Loss: 2.594e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039988
Epoch  96 (Period 2):  Train Loss: 2.800e-03,  Validation Loss: 2.379e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039993
Epoch  97 (Period 2):  Train Loss: 2.547e-03,  Validation Loss: 2.243e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039996
Epoch  98 (Period 2):  Train Loss: 2.351e-03,  Validation Loss: 1.961e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039998
Epoch  99 (Period 2):  Train Loss: 2.156e-03,  Validation Loss: 2.051e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039999
Epoch 100 (Period 2):  Train Loss: 2.141e-03,  Validation Loss: 1.967e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.04
Epoch 101 (Period 3):  Train Loss: 1.363e+01,  Validation Loss: 6.075e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0
Epoch 102 (Period 3):  Train Loss: 3.889e-02,  Validation Loss: 2.612e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 9.1534e-07
Epoch 103 (Period 3):  Train Loss: 7.054e-02,  Validation Loss: 1.029e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 2.292e-06
Epoch 104 (Period 3):  Train Loss: 3.297e-02,  Validation Loss: 2.179e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 4.3623e-06
Epoch 105 (Period 3):  Train Loss: 6.227e+00,  Validation Loss: 1.404e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 7.4759e-06
Epoch 106 (Period 3):  Train Loss: 1.257e-01,  Validation Loss: 6.131e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 1.2158e-05
Epoch 107 (Period 3):  Train Loss: 1.176e-01,  Validation Loss: 5.971e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 1.9198e-05
Epoch 108 (Period 3):  Train Loss: 1.479e-01,  Validation Loss: 1.315e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 2.9781e-05
Epoch 109 (Period 3):  Train Loss: 4.482e-02,  Validation Loss: 9.452e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 4.5689e-05
Epoch 110 (Period 3):  Train Loss: 4.857e+01,  Validation Loss: 1.912e+00,  Epoch Time: 0.85s,  Current Pruning Threshold: 6.9592e-05
Epoch 111 (Period 3):  Train Loss: 9.037e-01,  Validation Loss: 4.873e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00010549
Epoch 112 (Period 3):  Train Loss: 1.472e+00,  Validation Loss: 1.471e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.00015936
Epoch 113 (Period 3):  Train Loss: 7.973e-01,  Validation Loss: 1.921e+00,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.00024011
Epoch 114 (Period 3):  Train Loss: 2.122e-01,  Validation Loss: 1.000e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.00036094
Epoch 115 (Period 3):  Train Loss: 4.398e-01,  Validation Loss: 4.531e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00054131
Epoch 116 (Period 3):  Train Loss: 8.602e-02,  Validation Loss: 1.532e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.00080952
Epoch 117 (Period 3):  Train Loss: 1.647e+01,  Validation Loss: 2.241e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0012061
